,base,parts_of_speech,n_occurrences
49042,sprzyjający,przym,7
49043,gruboziarnisty,przym,1
49044,smakowy,przym,4
49045,wyłamywać,czas,2
49046,Jonagoldów,?,1
49047,przymrozek,rzecz,5
49048,konsumpcyjny,przym,4
49049,krotnie,przys,5
49050,wybarwienie,rzecz,1
49051,przechowalniczy,przym,1
49052,przechowalnia,rzecz,1
49053,1MCP,?,1
49054,triploidalność,?,1
49055,Jonagolda,?,3
49056,szampion,rzecz,1
49057,Gloster,?,24
49058,idared,rzecz,1
49059,koksa,rzecz,1
49060,McIntosh,?,1
49061,Melrose,?,1
49062,Elstar,?,1
49063,mączniak,rzecz,2
49064,Pezicula,?,1
49065,mnogość,rzecz,2
49066,Costera,?,1
49067,Goldpurpur,?,1
49068,Wilmuta,?,1
49069,Highwood,?,1
49070,jasnoczerwony,przym,3
49071,karminowoczerwony,przym,3
49072,Jonica,?,1
49073,Schneica,?,1
49074,Decosta,?,2
49075,Novajo,?,1
49076,Prince,?,3
49077,chimera,rzecz,2
49078,Jonagored,?,1
49079,Romagold,?,1
49080,Jacobs,?,1
49081,Jomured,?,1
49082,Rubinstar,?,1
49083,krótkopędowy,przym,2
49084,Dalijo,?,1
49085,szczecińsko,przys,1
49086,kamieński,przym,1
49087,beżowy,przym,1
49088,3063,rzecz,1
49089,Shipping,?,1
49090,LST,?,2
49091,1182,rzecz,1
49092,Newport,?,3
49093,Pirytramid,?,1
49094,Franciscus,?,1
49095,Hogenbirk,?,1
49096,TKF,?,6
49097,Ursus,rzecz,9
49098,AC,rzecz,6
49099,sześciocylindrowy,przym,6
49100,2516,rzecz,1
49101,przekładniowy,przym,1
49102,Mączyński,rzecz,5
49103,kaszyca,rzecz,3
49104,jarosławski,przym,1
49105,nieprzerywany,przym,1
49106,endecja,rzecz,1
49107,Jędrzejewski,rzecz,2
49108,litewsko,przys,6
49109,legionista,rzecz,5
49110,gospodarowanie,rzecz,2
49111,Narajowem,?,1
49112,Obotritia,?,1
49113,filister,rzecz,1
49114,Tereszczakówna,?,1
49115,Rudoszańskiego,?,1
49116,Teodorowicza,?,2
49117,Szmyda,?,2
49118,Bastyra,?,1
49119,Miliński,?,1
49120,Mękarski,?,1
49121,Błaszczak,rzecz,1
49122,Affek,?,1
49123,Artek,rzecz,1
49124,Height,?,2
49125,AHC,?,1
49126,Mutawakkil,?,1
49127,Abbasydów,?,3
49128,Mutasima,?,1
49129,Wasika,?,1
49130,Masudiego,?,1
49131,Samarry,?,2
49132,Aszik,?,1
49133,przepiękny,przym,1
49134,Dżafarijja,?,1
49135,sunnicki,przym,2
49136,mutazylizmu,?,1
49137,inkwizycja,rzecz,2
49138,mihnę,?,1
49139,rehabilitować,czas,1
49140,prześladowany,rzecz,1
49141,kalifa,rzecz,2
49142,Ahmada,?,1
49143,Hanbala,?,1
49144,851,rzecz,2
49145,zrównać,czas,3
49146,imam,rzecz,3
49147,Karbali,?,1
49148,szyicki,przym,1
49149,Alidę,?,1
49150,Hadiego,?,3
49151,Alidzi,?,1
49152,deportowany,rzecz,4
49153,dhimmi,?,1
49154,zburzyć,czas,8
49155,procesja,rzecz,1
49156,Samara,rzecz,1
49157,samara,rzecz,2
49158,gwardzista,rzecz,4
49159,Hauziński,?,1
49160,Buczyński,rzecz,5
49161,Baird,rzecz,8
49162,Haubenstocka,?,1
49163,Ramatiego,?,1
49164,Borowec,?,1
49165,orkiestracja,rzecz,1
49166,wpisywać,czas,3
49167,liryzm,rzecz,3
49168,eufoniczny,przym,1
49169,ponowoczesny,przym,1
49170,tricorne,rzecz,2
49171,grej,rzecz,2
49172,muzyczka,rzecz,2
49173,Sztwiertni,?,1
49174,Cieszyn,rzecz,1
49175,wibrafon,rzecz,2
49176,mizoginiczny,przym,1
49177,Rożdiestwienskiego,?,1
49178,Grochowiak,rzecz,1
49179,spojrzenie,rzecz,5
49180,zamyślenie,rzecz,1
49181,Michalska,rzecz,1
49182,perkusja,rzecz,12
49183,MCMLXXXII,rzecz,2
49184,antyfona,rzecz,3
49185,Salve,?,2
49186,Abschied,?,2
49187,inferno,?,1
49188,Abendmusik,?,1
49189,piwniczny,przym,3
49190,fagot,rzecz,4
49191,kontrabas,rzecz,3
49192,towarzyszenie,rzecz,7
49193,Makuszyński,rzecz,1
49194,Pezzo,?,2
49195,Passero,?,1
49196,capriccio,rzecz,2
49197,cembalo,?,1
49198,archi,?,3
49199,precjoza,rzecz,1
49200,Nascitur,?,2
49201,mors,rzecz,2
49202,fiori,?,1
49203,passi,?,1
49204,corale,?,1
49205,alla,?,3
49206,polonaise,?,1
49207,Oro,?,1
49208,supplex,?,1
49209,Węcowskiego,?,1
49210,impresja,rzecz,1
49211,idiofon,rzecz,1
49212,kleines,?,1
49213,Morgengebet,?,1
49214,Trompette,?,1
49215,Szachrit,?,1
49216,Lamento,?,2
49217,recytator,rzecz,3
49218,Bianca,?,3
49219,Or,?,4
49220,Oppman,rzecz,1
49221,dyr,?,8
49222,Maksymiuk,rzecz,2
49223,XXV,rzecz,7
49224,SX,?,5
49225,2386,rzecz,1
49226,2176,rzecz,1
49227,Halat,?,2
49228,Lauks,?,2
49229,Proksa,?,2
49230,Skoczyńska,rzecz,2
49231,Skoczyński,rzecz,3
49232,Warsaw,?,3
49233,2429,rzecz,2
49234,Penherski,?,1
49235,Baculewski,?,1
49236,Rudzinski,?,1
49237,Krzanowski,?,1
49238,Buczynski,?,1
49239,Ptazynska,?,1
49240,OCD,?,1
49241,AAD,?,1
49242,Elegy,?,1
49243,Polmic,?,1
49244,Composers,?,1
49245,Acte,?,1
49246,Prealable,?,1
49247,AP0108,?,1
49248,MSE,?,1
49249,021,rzecz,1
49250,022,rzecz,1
49251,durata,?,1
49252,Moś,?,1
49253,Carrier,?,7
49254,Launched,?,1
49255,Airborne,?,2
49256,Surveillance,?,1
49257,47B,?,1
49258,47A,?,1
49259,Atomics,?,1
49260,Avenger,?,3
49261,Avengera,?,1
49262,Predator,?,2
49263,1429,rzecz,1
49264,270x,?,1
49265,COSMO,?,2
49266,SkyMed,?,2
49267,apertura,rzecz,4
49268,Pleiades,?,1
49269,ORFEO,?,1
49270,SABRINA,?,1
49271,Mitrydates,?,5
49272,Mitridate,?,2
49273,Ponto,?,1
49274,KV,?,4
49275,trzyaktowy,przym,1
49276,Vittorio,?,4
49277,Amadea,rzecz,1
49278,Cigna,?,1
49279,Racine'a,?,1
49280,Ducal,?,1
49281,Eupator,?,1
49282,Aspasia,?,1
49283,Aspazja,?,1
49284,Sifare,?,1
49285,Mitrydatesa,?,4
49286,Farnace,?,1
49287,Ismene,?,1
49288,Marzio,?,1
49289,Arbate,?,1
49290,Nymphaeum,?,1
49291,Eupatora,?,2
49292,żądza,rzecz,4
49293,zdradzać,czas,7
49294,Milówka,rzecz,2
49295,modlitewny,przym,2
49296,Pini,?,2
49297,Ottorino,?,2
49298,Respighiego,?,1
49299,fontanna,rzecz,37
49300,Fontane,?,1
49301,Feste,?,1
49302,Romane,?,1
49303,piniowy,przym,3
49304,Molinariego,?,1
49305,programatyk,rzecz,1
49306,pini,?,3
49307,Villa,?,8
49308,Borghese,?,4
49309,presso,?,1
49310,catacomba,?,1
49311,Gianicolo,?,1
49312,Janikulum,?,3
49313,Appia,?,4
49314,hałaśliwie,przys,1
49315,gaj,rzecz,2
49316,Campagna,?,1
49317,niknąć,czas,1
49318,puzon,rzecz,6
49319,Janusa,?,1
49320,Respighi,?,2
49321,słowik,rzecz,1
49322,gramofonowy,przym,1
49323,Brunswick,?,1
49324,Panatrope,?,1
49325,trel,rzecz,1
49326,instrumentarium,rzecz,2
49327,krocz,rzecz,5
49328,drżeć,czas,2
49329,buccina,?,1
49330,flugelhorn,?,1
49331,obwieszczać,czas,2
49332,konsul,rzecz,6
49333,Kapitol,rzecz,3
49334,kontrafagot,rzecz,1
49335,blaszany,przym,3
49336,buccin,?,1
49337,Btuba,?,1
49338,flugelhorny,?,1
49339,sakshorn,rzecz,1
49340,klekotka,rzecz,1
49341,tamburyn,rzecz,1
49342,czelesta,rzecz,1
49343,gramofon,rzecz,1
49344,wiolonczeles,?,1
49345,Forsant,?,4
49346,niesłusznie,przys,1
49347,Kwakerfeller,?,1
49348,Flintheart,?,1
49349,Glomgold,?,1
49350,disneyowski,przym,1
49351,Kalisota,?,1
49352,Richest,?,1
49353,Wrongway,?,1
49354,Ronguay,?,1
49355,starozłotnicki,przym,1
49356,użyczać,czas,2
49357,Gawroński,rzecz,8
49358,McKwacza,?,6
49359,magik,rzecz,3
49360,Granita,?,1
49361,przepadać,czas,2
49362,Sknerusem,?,1
49363,nieudacznik,rzecz,2
49364,Kwacek,?,1
49365,Sknerus,?,6
49366,McKwacz,?,3
49367,Limpopo,rzecz,1
49368,Kaczogrodzie,?,2
49369,miliarder,rzecz,1
49370,kilt,rzecz,2
49371,spódniczka,rzecz,1
49372,Barks,?,1
49373,Forsanta,?,1
49374,borówczany,przym,2
49375,Bräuerhausens,?,1
49376,Steine,?,1
49377,Płócznika,?,1
49378,1060,rzecz,3
49379,trias,rzecz,1
49380,stroboskopowy,przym,7
49381,synchronizować,czas,4
49382,stroboskop,rzecz,4
49383,świetlówka,rzecz,2
49384,bezruch,rzecz,2
49385,wyładowczy,przym,1
49386,pirotechniczny,przym,1
49387,sprasować,czas,2
49388,dyskotekowy,przym,2
49389,Alaksandr,?,1
49390,Kurłowicz,?,1
49391,IO,?,6
49392,WNP,rzecz,1
49393,Aroostook,?,4
49394,kanonierka,rzecz,3
49395,CM,rzecz,6
49396,stawiacz,rzecz,2
49397,AOG,?,2
49398,SpongeBob,?,6
49399,Kanciastoporty,?,2
49400,SquarePants,?,1
49401,lektorski,przym,1
49402,SpongeBoba,?,2
49403,beztroski,przym,1
49404,gąbka,rzecz,2
49405,bikini,rzecz,1
49406,krab,rzecz,5
49407,serwować,czas,2
49408,kraboburgery,?,1
49409,nazywono,?,1
49410,krabowy,przym,1
49411,kotlecik,rzecz,1
49412,podekscytować,czas,2
49413,Skalmar,?,1
49414,nazwono,?,1
49415,Squiward,?,1
49416,macek,rzecz,1
49417,plankton,rzecz,1
49418,zdenerwować,czas,4
49419,kraboburgerów,?,1
49420,wykradać,czas,1
49421,uśmiercić,czas,4
49422,ITI,rzecz,1
49423,Iwańska,rzecz,1
49424,Brzostyński,?,4
49425,Monterotondo,?,2
49426,Kasandra,rzecz,1
49427,kasandra,rzecz,1
49428,Lucia,rzecz,3
49429,Toskania,rzecz,2
49430,Perotti,?,1
49431,Ricci,?,1
49432,Colonna,?,1
49433,Walewski,rzecz,2
49434,Mary's,?,2
49435,Chislehurst,?,1
49436,Procida,?,5
49437,Lukka,?,1
49438,Desiderio,?,1
49439,Piza,rzecz,3
49440,Ruy,?,1
49441,Blas,?,1
49442,Lucca,?,1
49443,Bonifazio,?,1
49444,Geremei,?,1
49445,sposa,?,1
49446,d'Abido,?,1
49447,Adhel,?,1
49448,Genua,rzecz,6
49449,genua,rzecz,6
49450,Esmeralda,?,1
49451,Medicis,?,1
49452,travers,?,1
49453,L'Aventurier,?,1
49454,Contessina,?,1
49455,Gelmina,?,1
49456,Golianek,?,1
49457,Ksawery,rzecz,2
49458,muzykologiczny,przym,3
49459,Cushing,?,2
49460,Scituate,?,1
49461,ratyfikacyjny,przym,1
49462,50mm,?,3
49463,SSM,?,3
49464,zmiennoogniskowy,przym,2
49465,α77,?,1
49466,SLT,?,2
49467,A77Q,?,1
49468,A77VQ,?,1
49469,74mm,?,1
49470,pełnoklatkowy,przym,3
49471,uszczelnienie,rzecz,1
49472,wave,?,1
49473,przeostrzanie,?,1
49474,parafokalną,?,1
49475,przeciwsłoneczny,przym,8
49476,ALC,?,3
49477,SH117,?,1
49478,72mm,?,1
49479,F72S,?,1
49480,R55,?,1
49481,Brzezowski,?,2
49482,Ostrawie,?,2
49483,Terezjańską,?,1
49484,Wiener,rzecz,2
49485,Reitschule,?,1
49486,Celestyn,rzecz,3
49487,Salwatorskim,?,1
49488,śmigielski,przym,1
49489,597,rzecz,3
49490,L.dz,rzecz,1
49491,mob,?,63
49492,941,rzecz,2
49493,spacerowicz,rzecz,1
49494,Ptaszycki,?,1
49495,Ingarden,rzecz,1
49496,nowohucki,przym,5
49497,NCK,?,2
49498,kandelabrowy,przym,1
49499,balkon,rzecz,3
49500,loggia,rzecz,1
49501,arkadowy,przym,2
49502,Bronowice,rzecz,1
49503,Krzesławickie,?,1
49504,borek,rzecz,3
49505,Fałęcki,?,2
49506,plesz,rzecz,2
49507,Mistrzejowice,?,1
49508,kopiec,rzecz,2
49509,walcownia,rzecz,1
49510,Rżąka,?,1
49511,kombinat,rzecz,5
49512,Kurdwanów,?,1
49513,642,rzecz,3
49514,kocmyrzowski,przym,1
49515,gorzelany,przym,1
49516,Sendzimira,?,1
49517,Mistrzejowic,?,1
49518,Cepelix,?,1
49519,Cepelia,rzecz,1
49520,BPH,rzecz,1
49521,skarbnica,rzecz,1
49522,kwiaciarnia,rzecz,1
49523,bosman,rzecz,3
49524,wiślany,przym,2
49525,skarpa,rzecz,2
49526,wielicki,przym,2
49527,PKO,rzecz,3
49528,czterogwiazdkowy,przym,1
49529,Z14,?,2
49530,Ihn,?,9
49531,1934A,?,2
49532,Leberecht,?,1
49533,Maass,?,2
49534,Prytkij,?,2
49535,B503,?,1
49536,Reichsmark,?,1
49537,Ihna,?,1
49538,poległy,rzecz,1
49539,rewia,rzecz,1
49540,Horthy,rzecz,2
49541,Kłajpeda,rzecz,1
49542,Steinbrinck,?,6
49543,Eckoldt,?,4
49544,Sęp,rzecz,2
49545,sęp,rzecz,3
49546,wymanewrować,czas,2
49547,zagroda,rzecz,3
49548,minowy,przym,7
49549,Gneisenau,rzecz,14
49550,Newcastle,?,5
49551,Heinemann,?,2
49552,Beitzen,?,3
49553,Künne,?,1
49554,Tamiza,rzecz,1
49555,Heidkamp,?,1
49556,Galster,?,5
49557,Jacobi,?,5
49558,Brestu,?,3
49559,Falmouth,?,1
49560,Riedel,?,2
49561,bristolski,przym,1
49562,Pallice,?,1
49563,biskajski,przym,1
49564,Rheinübung,?,1
49565,Cerberus,?,2
49566,Scharnhorst,?,3
49567,Schoemann,?,1
49568,Z25,?,3
49569,Hipper,?,1
49570,Arktyka,rzecz,2
49571,Schoemannem,?,1
49572,Tirpitz,?,1
49573,PQ,?,1
49574,Schoemanna,?,1
49575,Iżora,?,1
49576,2815,rzecz,1
49577,QP,?,1
49578,Z38,?,1
49579,Z39,?,1
49580,kmdr,rzecz,7
49581,Trampedach,?,1
49582,Fregattenkapitän,?,1
49583,Bey,?,2
49584,Pufendorf,?,1
49585,Wachsmuth,?,1
49586,Fromme,?,1
49587,Oldekop,?,1
49588,Прыткий,?,1
49589,Lipawy,?,1
49590,północnobałtycki,przym,1
49591,2239,rzecz,1
49592,3165,rzecz,1
49593,Bensona,?,1
49594,1530,rzecz,2
49595,mazut,rzecz,1
49596,SK,?,5
49597,5xI,?,1
49598,2xII,?,1
49599,6xI,?,1
49600,7xII,?,1
49601,1xIV,?,1
49602,2xIV,?,1
49603,BG,rzecz,1
49604,fuma,rzecz,3
49605,szumonamiernik,?,1
49606,GHG,?,1
49607,hydrolokator,rzecz,1
49608,Gerat,?,1
49609,C34,?,1
49610,Patjanin,?,2
49611,С,?,4
49612,В,?,2
49613,Патянин,?,2
49614,Esmincy,?,1
49615,tipa,?,1
49616,Lebieriecht,?,1
49617,Эсминцы,?,1
49618,типа,?,1
49619,Леберехт,?,1
49620,Маасс,?,1
49621,Morskaja,?,2
49622,Kollekcja,?,1
49623,Marula,?,1
49624,Sclerocarya,?,1
49625,birrea,?,1
49626,rozdzielnopłciowy,przym,1
49627,rozgałęziony,przym,2
49628,cętkowany,przym,3
49629,kwaskowy,przym,1
49630,pomarańcz,rzecz,1
49631,terpentyna,rzecz,1
49632,cytryna,rzecz,2
49633,przywoływać,czas,4
49634,obtrząsać,czas,1
49635,zaślepka,rzecz,1
49636,maruli,?,2
49637,Amarula,?,1
49638,Bernartice,?,2
49639,Bernsdorf,?,1
49640,Bernarcice,?,1
49641,przygraniczny,przym,2
49642,kralovohradeckim,?,1
49643,Žacléřa,?,1
49644,kruczy,przym,5
49645,Vraní,?,2
49646,Ličná,?,3
49647,Dlouhé,?,1
49648,Vody,?,1
49649,Lučního,?,1
49650,rozciągnąć,czas,3
49651,Kořenov,?,1
49652,Vrchová,?,1
49653,Rybníček,?,1
49654,Bečkov,?,1
49655,Dlouhá,?,1
49656,Voda,?,1
49657,kamieniołom,rzecz,3
49658,porfir,rzecz,1
49659,Bernardsdorf,?,1
49660,kolonizacyjny,przym,1
49661,Ottokara,?,1
49662,Žacléřu,?,3
49663,wladali,?,1
49664,Krzeszów,rzecz,1
49665,Kaspar,?,1
49666,1571,rzecz,2
49667,luterański,przym,1
49668,chałupnik,rzecz,1
49669,tkalnia,rzecz,2
49670,len,rzecz,2
49671,jut,rzecz,1
49672,trudnić,czas,1
49673,tkactwo,rzecz,1
49674,Lamperticach,?,1
49675,rekreacyjno,?,1
49676,1751,rzecz,2
49677,wiadukt,rzecz,2
49678,starofrancuski,przym,1
49679,Bernartic,?,1
49680,Petřikovic,?,1
49681,parterowy,przym,3
49682,Chasechemui,?,3
49683,Chasechem,?,3
49684,Chasechamui,?,3
49685,Nefersokar,?,1
49686,Nechen,?,2
49687,Nimaatapis,?,1
49688,podbicie,rzecz,2
49689,Horusa,?,3
49690,równoprawny,przym,1
49691,ożywiony,przym,3
49692,Necheb,?,1
49693,Manetona,?,1
49694,tynicki,?,1
49695,Benneta,?,3
49696,albumowy,przym,4
49697,klawo,przys,1
49698,pat,rzecz,4
49699,Carey,?,1
49700,deponować,czas,1
49701,ulotnić,czas,1
49702,osadzać,czas,4
49703,okraść,czas,2
49704,złotonośny,przym,3
49705,LongShot,?,4
49706,Altitude,?,1
49707,Warfare,?,3
49708,HAAWC,?,2
49709,Standoff,?,1
49710,przenoścnego,?,1
49711,SWI,?,1
49712,Weapon,?,2
49713,668,rzecz,1
49714,parować,czas,1
49715,zgar,rzecz,1
49716,pomarańczowożółty,przym,1
49717,armatura,rzecz,2
49718,pla,?,1
49719,styczna,rzecz,3
49720,kłódka,rzecz,1
49721,odważnik,rzecz,3
49722,odlewać,czas,2
49723,87025,rzecz,1
49724,dwuskładnikowy,przym,2
49725,naprężeniową,?,1
49726,M95,?,1
49727,CuZn5,?,1
49728,M90,?,1
49729,CuZn10,?,1
49730,CuZn15,?,1
49731,M80,?,1
49732,CuZn20,?,1
49733,M75,?,1
49734,CuZn25,?,1
49735,M70,?,1
49736,CuZn30,?,1
49737,M68,?,2
49738,CuZn32,?,1
49739,M63,?,1
49740,CuZn37,?,1
49741,CuZn40,?,1
49742,ołowiowy,przym,4
49743,skrawalność,rzecz,1
49744,podatnośc,?,1
49745,MO64,?,1
49746,CuZn34Pb3,?,1
49747,MO62,?,1
49748,CuZn36Pb1,?,1
49749,MO61,?,1
49750,CuZn36Pb3,?,1
49751,MO58A,?,1
49752,CuZn39Pb2,?,2
49753,MO58b,?,1
49754,CuZn40Pb2,?,2
49755,MO58,?,1
49756,MO60,?,1
49757,CuZn38Pb1,?,1
49758,MO59,?,1
49759,MC90,?,1
49760,CuZn10Sn,?,1
49761,MC70,?,1
49762,CuZn28Sn,?,1
49763,MC62,?,1
49764,CuZn38Sn,?,1
49765,MA77,?,1
49766,CuZn20Al2,?,1
49767,MA59,?,1
49768,CuZn36Al3Ni2,?,1
49769,MA58,?,1
49770,CuZn38Al3Mn2Fe,?,1
49771,MA67,?,1
49772,CuZn38Al3,?,1
49773,MM59,?,2
49774,CuZn40Mn,?,2
49775,MM57,?,1
49776,CuZn40FeMnSnAl,?,1
49777,MM56,?,1
49778,CuZn40Mn3Al,?,1
49779,MM47,?,1
49780,CuZn43Mn4Pb3Fe,?,1
49781,MM55,?,1
49782,CuZn40Mn3Fe,?,1
49783,MM58,?,1
49784,CuZn38Mc2Pb2,?,1
49785,niklowy,przym,2
49786,MN65,?,1
49787,CuZn29Ni6,?,1
49788,MK80,?,1
49789,CuZn16Si3,?,1
49790,wysokoniklowy,przym,2
49791,MZN18,?,1
49792,CuNi18Zn27,?,1
49793,MZ20N18,?,1
49794,CuNi18Zn20,?,1
49795,MZN15,?,1
49796,CuNi15Zn21,?,1
49797,MZN12,?,1
49798,CuNi12Zn24,?,1
49799,wypolerować,czas,1
49800,cukiernica,rzecz,1
49801,pater,rzecz,2
49802,odcynkować,czas,1
49803,Brass,?,2
49804,ciężarek,rzecz,2
49805,MJJF,?,1
49806,Instrumentos,?,1
49807,groszowy,przym,1
49808,ubt.jpeg,rzecz,1
49809,tombak,rzecz,2
49810,Lothara,?,2
49811,Siebera,?,3
49812,przekreślić,czas,1
49813,płoz,rzecz,2
49814,płóz,rzecz,2
49815,Bachema,?,4
49816,BP20,?,1
49817,HWK,?,1
49818,509A,?,1
49819,Schmiddinga,?,2
49820,zadziałać,czas,2
49821,sterownica,rzecz,3
49822,wycelować,czas,4
49823,stożek,rzecz,4
49824,R4M,?,1
49825,Hs,?,2
49826,taranować,czas,2
49827,Reichsführer,?,1
49828,wypalać,czas,5
49829,sterowny,przym,1
49830,szybować,czas,5
49831,rozłamywać,czas,1
49832,Ummendorfie,?,1
49833,Biberach,?,1
49834,Riß,?,1
49835,Technische,?,1
49836,Aachen,rzecz,1
49837,Fucksa,?,1
49838,analogowy,przym,8
49839,Waldsee,?,3
49840,Versuchsanstalt,?,1
49841,Luftfahrt,?,1
49842,DVL,?,1
49843,powietrznokosmiczny,przym,1
49844,Klöcknerem,?,1
49845,wyholować,czas,2
49846,Stetten,?,3
49847,kalten,?,1
49848,Markt,?,3
49849,Heuberg,?,4
49850,349A,?,4
49851,349B,?,2
49852,M23,?,1
49853,Kalten,?,2
49854,bezproblemowo,przys,2
49855,wymknąć,czas,3
49856,Sieber,?,2
49857,roztrzaskać,czas,1
49858,zatrzasnąć,czas,1
49859,wyretuszować,czas,1
49860,FuG16,?,1
49861,Sieberowi,?,1
49862,Natterów,?,1
49863,Sieberem,?,1
49864,Muroc,?,1
49865,Nattery,?,1
49866,Kirchheim,?,3
49867,unter,?,5
49868,Teck,?,2
49869,Nattera,?,1
49870,Shinryu,?,1
49871,Hasenholz,?,2
49872,postronny,przym,4
49873,Badenia,rzecz,2
49874,Wirtembergia,rzecz,3
49875,Freeman,?,1
49876,Steven,rzecz,8
49877,Udvar,?,1
49878,Garber,?,2
49879,Preservation,?,2
49880,Restoration,?,4
49881,Facility,?,3
49882,Suitland,?,1
49883,Blueprint,?,1
49884,Ballantine's,?,2
49885,89555,rzecz,2
49886,087,rzecz,1
49887,Gooden,?,1
49888,Luftwaffe's,?,1
49889,vertical,rzecz,3
49890,Rocket,?,4
49891,Interceptor,?,74
49892,Crowborough,?,1
49893,UK,?,8
49894,903223,rzecz,1
49895,Warplanes,?,2
49896,Jane's,?,3
49897,Fourth,?,2
49898,impression,?,1
49899,02382,rzecz,1
49900,25893,rzecz,1
49901,Lommel,?,3
49902,erste,?,1
49903,bemannte,?,2
49904,Raketenstart,?,1
49905,Motorbuch,?,3
49906,edition,?,1
49907,613,rzecz,2
49908,01862,rzecz,1
49909,Geschoß,?,1
49910,NATTER,?,1
49911,Technikgeschichte,?,1
49912,Saarbrücken,?,2
49913,VDM,?,1
49914,925480,rzecz,1
49915,Höhenaufklärer,?,1
49916,Raumgleiter,?,1
49917,Geheimprojekte,?,1
49918,02072,rzecz,1
49919,Maloney,?,1
49920,Okha,?,1
49921,Suicide,?,1
49922,Fzg,?,1
49923,Reichenberg,?,1
49924,Fallbrook,?,1
49925,Mercado,?,1
49926,Takeoff,?,1
49927,reich,?,1
49928,Atglen,?,2
49929,PA,rzecz,3
49930,Schiffer,?,2
49931,7643,rzecz,2
49932,1435,rzecz,1
49933,Myhra,?,1
49934,Planes,?,2
49935,1032,rzecz,1
49936,Rebelstar,?,3
49937,Gollopa,?,1
49938,RebelStar,?,1
49939,Moonbase,?,1
49940,Raider,?,2
49941,Defender,?,1
49942,ISAAC,?,1
49943,Offical,?,1
49944,Koberdowa,?,4
49945,Halwic,?,1
49946,voto,?,2
49947,Sado,?,1
49948,archiwistka,rzecz,1
49949,Skrzypkowskiej,?,1
49950,archiwistyka,rzecz,1
49951,resortowy,przym,2
49952,Waryński,rzecz,1
49953,uwarunkowanie,rzecz,1
49954,zbeletryzować,czas,1
49955,Koberdowej,?,1
49956,popularno,?,2
49957,Międzynarodówka,rzecz,5
49958,międzynarodówka,rzecz,5
49959,socjalno,?,1
49960,Garibaldi,rzecz,4
49961,Próchnik,rzecz,1
49962,próchnik,rzecz,1
49963,opatrzyć,czas,1
49964,wykraczający,rzecz,1
49965,WSNS,?,1
49966,ponadprzeciętny,przym,1
49967,Socjalistyczno,?,1
49968,Tazbirem,?,1
49969,Gambetta,?,1
49970,vörösinges,?,1
49971,hős,?,1
49972,Kossuth,rzecz,1
49973,Könyvkiadó,?,1
49974,siewierski,przym,2
49975,Radzyń,rzecz,1
49976,362,rzecz,1
49977,przyp,?,1
49978,Kōshiego,?,1
49979,Rikudō,?,1
49980,Yari,?,1
49981,sugi,?,1
49982,ACROSS,?,4
49983,Palazzo,?,12
49984,Hyatt,?,8
49985,エクセル,?,1
49986,Ekuseru,?,1
49987,nadpobudliwy,przym,1
49988,przyzwyczajać,czas,1
49989,ハイアット,?,1
49990,Haiatto,?,1
49991,odmrozić,czas,2
49992,Puciu,?,4
49993,podoba,rzecz,2
49994,fioletowo,przys,2
49995,イルパラッゾ,?,1
49996,Iruparazzo,?,1
49997,białoszary,przym,3
49998,jakoś,przys,1
49999,znudzić,czas,1
50000,zapatrzony,przym,1
50001,Menchi,?,3
50002,メンチ,?,1
50003,jadło,rzecz,1
50004,Menchi'ego,?,2
50005,zywności,?,1
50006,Menchim,?,1
50007,Micky,?,1
50008,ペドロ,?,1
50009,Pedoro,?,1
50010,synek,rzecz,5
50011,Nabeshin,?,2
50012,ナベシン,?,1
50013,Tetsuko,?,1
50014,渡辺通,?,1
50015,współlokator,rzecz,2
50016,Iwata,?,1
50017,luzak,rzecz,1
50018,Daimaru,?,2
50019,Sumiyoshi,?,2
50020,住吉大丸,?,1
50021,grubas,rzecz,1
50022,プチュウ,?,1
50023,Puchū,?,1
50024,puciu,?,1
50025,Mikros,?,2
50026,20x,?,1
50027,10x,?,1
50028,200x,?,1
50029,CEZAS,?,1
50030,rk,?,1
50031,36722,rzecz,1
50032,ferm,rzecz,3
50033,Fm,?,1
50034,fermium,?,1
50035,255U,?,1
50036,255Fm,?,1
50037,napoleondor,rzecz,2
50038,Napoléon,?,2
50039,d'or,?,5
50040,45161,rzecz,1
50041,luidor,rzecz,2
50042,Fellahowie,?,2
50043,fallahowie,?,1
50044,arabizacja,rzecz,1
50045,islamizacja,rzecz,1
50046,fellahów,?,1
50047,fallahów,?,1
50048,Kopt,rzecz,4
50049,BVA,?,4
50050,Volleyball,?,1
50051,Thumpsa,?,1
50052,Felsen,?,2
50053,Tompsah,?,1
50054,Tumpsfels,?,1
50055,Myi,?,2
50056,Hotchkiss,?,2
50057,Wolsztyn,rzecz,2
50058,kopanica,rzecz,1
50059,dozorować,czas,2
50060,Obry,?,2
50061,Kownackiego,?,1
50062,strączek,rzecz,1
50063,przeciwległy,przym,2
50064,Giecza,?,2
50065,Sypina,?,1
50066,Janowice,rzecz,1
50067,jaszcz,rzecz,1
50068,Modlną,?,1
50069,Rogoźno,?,1
50070,Rogozińska,rzecz,1
50071,Jasienica,rzecz,1
50072,Rybnie,?,1
50073,okupić,czas,3
50074,laski,przym,1
50075,adamowy,przym,1
50076,Kierbedź,rzecz,1
50077,Lucjan,rzecz,3
50078,Szczepankowski,?,1
50079,Sadowski,rzecz,4
